,auteur
1106,Nicolas Goinard
1107,Laure Parny
1108,Paméla Rougerie
1109,Romain Porée
1110,F.V.D.P.
1111,Isabelle Boidanghein
1112,Franck Lagier
1113,Michel Valentin
1114,E.B.
1115,Laurent Pruneta
1116,Simon Gourru
1117,Le Parisien
1118,Agnès Vives (avec C.S.)
1119,Sophie Bordier
1120,Nicolas Berrod
1121,Laure Parny
1122,Le Parisien avec AFP
1123,Laurent Pruneta
1124,Ronan Folgoas
1125,Nicolas Goinard
1126,Nicolas Berrod
1127,D.L.
1128,Le Parisien avec AFP
1129,Kévin Romain
1130,Le Parisien avec AFP
1131,Halim Bouakkaz
1132,J. Cl.
1133,Sébastien Morelli
1134,Kévin Romain
1135,J.Cl.
1136,Laurent Pruneta
1137,David Opoczynski avec Sébastien Nieto
1138,Christian Goutorbe
1139,sans auteur
1140,Catherine Balle
1141,sans auteur
1142,sans auteur
1143,D.C
1144,Le Parisien avec AFP
1145,Mickaël Sizine et Mehdi Gherdane
1146,Juliette Mansour
1147,Sébastien Birden
1148,Vincent Gautronneau et Jérémie Pham-Lê
1149,Nolwenn Cosson (avec F.G. et C.Ch.)
1150,Laurent Pruneta
1151,N.G. et L.P avec AFP
1152,J.Cl.
1153,Thibault Chaffotte
1154,Renaud Baronian
1155,Gaël Lombart
1156,Le Parisien avec AFP
1157,le service Télévision
1158,Emeline Collet
1159,Isabelle Calabre
1160,sans auteur
1161,sans auteur
1162,sans auteur
1163,"Fayçal Métaoui, correspondant à Alger (Algérie)"
1164,Jacky Goldberg
1165,Marie Briand-Locu
1166,Le Parisien avec AFP
1167,J.D.
1168,Propos recueillis par Romain Porée
1169,Romain Baheux
1170,Frédéric Gouaillard
1171,"J.Cl., J.P. avec AFP"
1172,Odile Plichon
1173,"Adeline Daboval, envoyée spéciale à Sainte-Luce-sur-Loire (Loire-Atlantique)"
1174,Arnaud Detout
1175,Harold Marchetti
1176,Romain Baheux
1177,Céline Carez
1178,N.Be. et R.T.
1179,Yves Leroy
1180,Arnaud Detout et Laurent Pruneta
1181,Grégory Plouviez
1182,Yves Leroy
1183,Maxime François
1184,"Ariane Riou, envoyée spéciale à Orschwihr (Haut-Rhin)"
1185,Le Parisien avec AFP
1186,"Anthony Faure, correspondant à Décines (Rhône)"
1187,E.J. avec AFP
1188,Olivier François
1189,Sylvie De Macedo et Odile Plichon (avec Aurélie Lebelle)
1190,"Olivier Beaumont, Pauline Théveniaud et Marcelo Wesfreid"
1191,Le Parisien avec AFP
1192,Florence Méréo
1193,Eric Michel (avec Christophe Lacaze-Eslous)
1194,Le Parisien avec AFP
1195,Christophe Levent
1196,Catherine Gasté
1197,"Jean-Michel Décugis, Ronan Folgoas et Jérémie Pham-Lê, avec Doris Henry, correspondante à Nancy (Meurthe-et-Moselle)"
1198,D.S.
1199,"Stéphanie Forestier, Patrick Caffin et Hervé Sénamaud"
1200,Christophe Levent
1201,Jeanne Cassard
1202,C. L.-E.
1203,E.J.
1204,Eric Bruna
1205,Le Parisien
1206,Frédéric Naizot
1207,N.Be.
1208,Erwan Benezet et Florence Méréo
1209,L.G.
1210,P.R.
1211,Marc Mechenoua
1212,Olivier Beaumont et Valérie Hacot
1213,"Jean Saint-Marc, correspondant à Marseille (Bouches-du-Rhône)"
1214,Florent Hélaine
1215,Cécile Chevallier
1216,Agnès Vives
1217,Fanny Delporte
1218,C.B.
1219,C. L.-E.
1220,Sébastien Morelli
1221,Le Parisien avec AFP
1222,V.M.
1223,Marie-Anne Gairaud
1224,Valentine Rousseau
1225,J.D.
1226,Marie Poussel
1227,"Doris Henry, correspondante à Nancy (Meurthe-et-Moselle)"
1228,Vincent Gautronneau
1229,David Opoczynski
1230,Anne-Sophie Damecour
1231,Olivier Bureau
1232,Christian Panvert
1233,Caroline Piquet
1234,Nathalie Revenu
1235,Aubin Laratte
1236,Marie Persidat
1237,Ronan Folgoas et Bérangère Lepetit
1238,Stéphanie Forestier
1239,Thomas Segissement
1240,Aurélie Ladet
1241,Le Parisien avec AFP
1242,Aymeric Renou
1243,Sébastien Roselé (avec Victor Alexandre)
1244,Alexandre Sulzer
1245,L’équipe de Code source
1246,sans auteur
1247,"Sandrine Lefèvre, envoyée spéciale aux Sables-d’Olonne (Vendée)"
1248,L.G. avec Marcelo Wesfreid
1249,Renaud Baronian
1250,Anne Collin
1251,Sophie Bordier
1252,V.M.
1253,N.R.
1254,Hervé Sénamaud
1255,sans auteur
1256,E.J.
1257,Romain Baheux
1258,sans auteur
1259,Dominique Sévérac
1260,N.R. et J.C.
1261,"Ariane Riou, envoyée spéciale à Colmar (Haut-Rhin)"
1262,Catherine Balle
1263,sans auteur
1264,Le Parisien avec AFP
1265,Le Parisien avec AFP
1266,Hélène Haus
1267,le service Télévision
1268,Marjorie Lenhardt
1269,Le Parisien avec AFP
1270,Sébastien Morelli
1271,Baptiste Lépinay
1272,Nicolas Berrod
1273,Caroline Piquet
1274,Aurélie Sipos
1275,sans auteur
1276,David Opoczynski
1277,Le Parisien avec AFP
1278,Fanny Delporte
1279,"Le Parisien, avec AFP"
1280,"Zoé Lauwereys, envoyée spéciale à Valence (Drôme)"
1281,Sébastien Birden
1282,Le Parisien avec AFP
1283,Le Parisien avec AFP
1284,Eric Bruna
1285,Aubin Laratte
1286,Benjamin Derveaux
1287,Olivier Bureau
1288,"Le Parisien, avec AFP"
1289,Mehdi Gherdane
1290,Le Parisien avec AFP
1291,R.Bx.
1292,Romain Porée
1293,Valérie Mahaut
1294,Le Parisien avec AFP
1295,Denis Courtine
1296,C.G.
1297,Le Parisien avec AFP
1298,Ch.B.
1299,Sylvain Merle
1300,Christine Mateus
1301,F.G.
1302,N.Be.
1303,Eric Le Mitouard
1304,Eric Bruna
1305,"Le Parisien, avec AFP"
1306,Julien Barbare
1307,David Opoczynski
1308,Le Parisien avec AFP
1309,"Catherine Balle, Renaud Baronian, Stéphanie Guerrin"
1310,Salomé Dubart
1311,Bertrand Métayer
1312,Frédéric Durand
1313,Le Parisien avec AFP
1314,"Le Parisien, avec AFP"
1315,sans auteur
1316,A.C
1317,Mehdi Gherdane
1318,sans auteur
1319,Antoine Castagné
1320,S. Co. avec AFP
1321,Sylvia Vaisman
1322,M.G.
1323,Delphine Brunet
1324,"Le Parisien, avec AFP"
1325,Marie Persidat
1326,sans auteur
1327,Ezéchiel Zerah
1328,J.P.-L. et V.G.
1329,sans auteur
1330,sans auteur
1331,Le Parisien
1332,Julie Rimbert
1333,Serge Pueyo
1334,sans auteur
1335,David Livois
1336,Florian Garcia
1337,sans auteur
1338,Inès de Rousiers et Guylaine Roujol
1339,C. L.-E.
1340,Sylvain Merle
1341,Damien Licata Caruso
1342,Stéphan Flourent
1343,Le Parisien avec AFP
1344,Christophe Levent
1345,Pauline Conradsson
1346,Kevin Boucher
1347,Guénaèle Calant
1348,Romain Porée
1349,Julie Ménard
1350,Nicolas Berrod
1351,Cécile Chevallier
1352,sans auteur
1353,S. Co. avec AFP
1354,Gwenael Bourdon (avec Nathalie Revenu)
1355,Frédéric Naizot
1356,Nora Moreau
1357,"Le Parisien, avec AFP"
1358,Hélène Haus
1359,"Anthony Faure, correspondant à Lyon (Rhône)"
1360,Renaud Baronian
1361,S. Co. avec AFP
1362,C.G.
1363,Olivier François
1364,Stéphane Loignon
1365,Eric Bruna
1366,Yves Jaeglé
1367,S. Co. avec AFP
1368,Le Parisien avec AFP
1369,Le Parisien avec AFP
1370,"Le Parisien, avec AFP"
1371,Florence Méréo
1372,"Carine Didier, envoyée spéciale à Lens (Pas-de-Calais)"
1373,Florence Méréo
1374,Le Parisien avec AFP
1375,Catherine Gasté
1376,Le Parisien
1377,Bérangère Lepetit
1378,Sébastien Thomas
1379,Delphine Denuit
1380,Frédéric Mouchon
1381,Marcelo Wesfreid
1382,"Bénédicte Alaniou, Erwan Benezet, Marie Campistron et Victor Tassel"
1383,E.J
1384,Le Parisien avec AFP
1385,Le Parisien
1386,Ronan Folgoas
1387,Bérangère Lepetit
1388,Sylvie De Macedo
1389,Le Parisien avec AFP
1390,"Jean-Michel Décugis, Vincent Gautronneau, Zoé Lauwereys et Jérémie Pham-Lê"
1391,D.D.
1392,Julien Constant et Stanislas de Livonnière (avec F.L.)
1393,Quentin Laurent et Pauline Théveniaud
1394,Delphine Denuit
1395,Le Parisien avec AFP
1396,F.G.
1397,S.L.
1398,E.J. avec AFP
1399,Olivier François
1400,Le Parisien
1401,Kevin Boucher
1402,Florence Méréo
1403,Florent Hélaine
1404,Bérangère Lepetit
1405,E.J. avec AFP
1406,Le Parisien avec AFP
1407,Jeanne Cassard
1408,Hendrik Delaire
1409,Aymeric Renou
1410,Ph.L. avec AFP
1411,Denis Courtine
1412,Guénaèle Calant
1413,"Sandrine Lefèvre, envoyée spéciale aux Sables-d’Olonne (Vendée)"
1414,Thomas Segissement
1415,N.R.
1416,Sylvain Deleuze
1417,Julien Constant
1418,Le Parisien avec AFP
1419,Michaël Zoltobroda
1420,Nicolas Berrod et Marie-Anne Gairaud
1421,Pauline Conradsson
1422,Sylvain Deleuze
1423,Eric Michel et Christophe Lacaze-Eslous
1424,Florian Garcia (avec Virginie Weber et Patrick Caffin)
1425,Patrick Caffin et Simon Gourru
1426,Le Parisien avec AFP
1427,Aubin Laratte
1428,Le Parisien avec AFP
1429,Julien Constant
1430,Olivier François (avec E. M.)
1431,David Doukhan
1432,Florent Hélaine
1433,"Sandrine Lefèvre, envoyée spéciale aux Sables d’Olonne (Vendée)"
1434,Nathalie Revenu
1435,sans auteur
1436,Sébastien Morelli
1437,Julien Duffé
1438,Le Parisien avec AFP
1439,L’équipe de Code source
1440,Frédéric Naizot
1441,Christine Berkovicius
1442,Alexis Bisson
1443,Bartolomé Simon
1444,sans auteur
1445,sans auteur
1446,Jean-Gabriel Bontinck
1447,Sylvain Deleuze
1448,Bérangère Lepetit
1449,Caroline Piquet
1450,Le Parisien avec AFP
1451,E.M.
1452,sans auteur
1453,Catherine Balle
1454,Romain Baheux
1455,Victor Alexandre
1456,sans auteur
1457,"Sandrine Lefèvre, envoyée spéciale aux Sables-d’Olonne (Vendée)"
1458,Elsa Marnette
1459,Le Parisien avec AFP
1460,Elsa Marnette
1461,Stéphane Bianchi
1462,Le Parisien avec AFP
1463,Olivier Beaumont
1464,F.V.D.P.
1465,C.Si.
1466,C. L.-E.
1467,Le Parisien avec AFP
1468,Le service Télévision
1469,Quentin Laurent
1470,Le Parisien avec AFP
1471,Marine Legrand
1472,Aurélie Ladet
1473,D.S.
1474,Vincent Gautronneau
1475,Le Parisien avec AFP
1476,Jean-Gabriel Bontinck et Jila Varoquier
1477,Michaël Zoltobroda
1478,J.M.
1479,Guylaine Roujol Perez
1480,Salomé Dubart avec AFP
1481,"Le Parisien, avec AFP"
1482,Simon Gourru
1483,Arnaud Detout
1484,Nicolas Berrod
1485,Hendrik Delaire
1486,Christophe Levent
1487,Gérald Moruzzi
1488,N.R.
1489,Le Parisien
1490,Bérangère Lepetit
1491,P.R.
1492,Anne Collin
1493,Le Parisien avec AFP
1494,Nicolas Berrod
1495,Le Parisien avec AFP
1496,"Le Parisien, avec AFP"
1497,Le Parisien
1498,J.M. avec AFP
1499,Jean-Gabriel Bontinck
1500,S. Co. avec AFP
1501,Sébastian Compagnon et Christine Henry
1502,Sébastien Blondé
1503,Guénaèle Calant
1504,Le Parisien avec AFP
1505,Sébastien Blondé
1506,Anne-Sophie Damecour
1507,Nicolas Maviel
1508,Ch.B.
1509,Fanny Delporte
1510,Cécile Chevallier
1511,Le Parisien avec AFP
1512,Romain Baheux
1513,Alexandre Arlot
1514,J.M. avec AFP
1515,Nicolas Maviel
1516,Thibault Chaffotte
1517,sans auteur
1518,D.S.
1519,Le Parisien
1520,P.R.
1521,Valérie Mahaut
1522,sans auteur
1523,Sébastien Nieto (avec Adrien Chantegrelet)
1524,J.M. avec AFP
1525,Frédéric Durand
1526,Le Parisien
1527,Esteban Pinel
1528,Le Parisien avec AFP
1529,Juliette Mansour (avec Fabien Casaleggio)
1530,sans auteur
1531,Jannick Alimi et Julien Duffé
1532,"Le Parisien, avec AFP"
1533,Gérald Moruzzi
1534,Eric Michel
1535,Sébastien Birden
1536,Le Parisien avec AFP
1537,Le Parisien
1538,sans auteur
1539,Marie Campistron
1540,Anne-Laure Abraham
1541,Hadrien Gonzales
1542,Le Parisien avec AFP
1543,Marion Kremp
1544,Marc Leras
1545,Le Parisien
1546,David Livois et Olivier Bureau
1547,Florence Hubin
1548,Yves Jaeglé
1549,J.M.
1550,M.P.
1551,"Le Parisien, avec AFP"
1552,Sébastien Nieto
1553,Louise Colcombet
1554,Le Parisien avec AFP
1555,Sylvie De Macedo
1556,Sylvie De Macedo
1557,sans auteur
1558,sans auteur
1559,Le Parisien
1560,Julie Rimbert
1561,J.M. avec AFP
1562,Nora Moreau
1563,Laurent Derouet
1564,Yves Jaeglé
1565,Marie Briand-Locu
1566,Le Parisien avec AFP
1567,Le Parisien avec AFP
1568,Le Parisien
1569,"Le Parisien, avec AFP"
1570,Romain Baheux
1571,"Sandrine Lefèvre, envoyée spéciale aux Sables-d’Olonne (Vendée)"
1572,Le Parisien avec AFP
1573,Arnaud Detout
1574,Stéphanie Guerrin
1575,J.M. avec AFP
1576,Le Parisien avec AFP
1577,S. Co. avec AFP
1578,Emilie Torgemen
1579,S. Co. avec AFP
1580,Dominique Sévérac
1581,Dominique Sévérac
1582,Catherine Balle
1583,Alexandre Sulzer avec Quentin Laurent
1584,Le Parisien
1585,Maïram Guissé
1586,Thomas Poupeau
1587,Maïram Guissé
1588,Victor Tassel
1589,Matthieu Pelloli
1590,"Sandrine Lefèvre, envoyée spéciale aux Sables-d’Olonne (Vendée)"
1591,Ronan Tésorière
1592,C. L.-E.
1593,Eric Michel
1594,Le Parisien avec AFP
1595,Le Parisien avec AFP
1596,Christophe Lacaze-Eslous
1597,Le Parisien
1598,N.R.
1599,Timothée Boutry
1600,R.T. avec AFP
1601,Elsa Mari
1602,Denis Courtine et Caroline Piquet
1603,Lionel Chami
1604,F.V.D.P.
1605,Le Parisien (avec AFP)
1606,"Sandrine Lefèvre, envoyée spéciale aux Sables-d’Olonne (Vendée)"
1607,Le Parisien
1608,Ludwig Gallet avec AFP
1609,O.B.
1610,Matthias Galante
1611,Jeanne Cassard
1612,Olivier Beaumont
1613,Antoine Castagné
1614,Philippe Baverel
1615,Renaud Baronian
1616,Sophie Bordier
1617,Le Parisien avec AFP
1618,Gaël Lombart
1619,Bérangère Lepetit
1620,F.G.
1621,Nathalie Revenu
1622,Cécile Chevallier
1623,Bérangère Lepetit
1624,Le Parisien avec AFP
1625,Thibault Chaffotte
1626,Sylvie De Macedo
1627,Sylvain Deleuze
1628,Damien Licata Caruso
1629,Nicolas Maviel
1630,Marine Legrand
1631,R.T avec AFP
1632,David Doukhan
1633,Alexandre Sulzer
1634,JC
1635,Eric Michel
1636,Virginie Wéber
1637,Julien Constant et Denis Courtine (avec Nicolas Goinard)
1638,"Louise Colcombet, envoyée spéciale à Montpellier (Hérault)"
1639,C.G.
1640,L’équipe de Code source
1641,"Franck Ragaine, correspondant à Los Angeles (Etats-Unis)"
1642,Sandrine Lefèvre
1643,Florent Hélaine
1644,Fanny Delporte
1645,B.D.
1646,R.T. avec AFP
1647,O.F. avec AFP
1648,Valérie Mahaut
1649,Salomé Dubart
1650,Le Parisien avec AFP
1651,Frédéric Naizot
1652,Le Parisien avec AFP
1653,Matthieu Turel
1654,Le Parisien.
1655,Laurent Derouet
1656,Sylvain Deleuze
1657,Le Parisien avec AFP
1658,sans auteur
1659,sans auteur
1660,Olivier Bureau (avec D.L.)
1661,sans auteur
1662,sans auteur
1663,Sébastien Blondé
1664,sans auteur
1665,D.S.
1666,Le Parisien avec AFP
1667,A.C et C.L
1668,Jean-Michel Décugis et Alexandre Sulzer
1669,Le service Télévision
1670,Charles de Saint Sauveur
1671,Catherine Balle
1672,Le Parisien avec AFP
1673,sans auteur
1674,A.B.
1675,Hendrik Delaire
1676,Jean-Gabriel Bontinck
1677,Juliette Pousson
1678,Michel Valentin
1679,Le Parisien avec AFP
1680,Sébastian Compagnon
1681,Christophe Goudaillier
1682,"Le Parisien, avec AFP"
1683,Alexis Bisson
1684,Le Parisien
1685,R.Bx. avec AFP
1686,R.Bx. avec AFP
1687,Harold Marchetti
1688,"Le Parisien, avec AFP"
1689,Le Parisien avec AFP
1690,Jean-Michel Décugis et Jérémie Pham-Lê
1691,J.Cl. (avec AFP et Reuters)
1692,Le Parisien
1693,Le Parisien
1694,David Charpentier
1695,Emeline Collet
1696,Le Parisien avec AFP
1697,Le Parisien avec AFP
1698,Benjamin Derveaux et Patrick Caffin
1699,Christine Mateus
1700,Sophie Bordier
1701,S. Co. avec AFP
1702,Antoine Castagné
1703,A.D.
1704,Carine Didier
1705,"Le Parisien, avec AFP"
1706,A.C.
1707,Sébastian Compagnon
1708,Laure Parny
1709,Marc Mechenoua
1710,Julie Olagnol
1711,Esteban Pinel
1712,Romain Baheux et Sandrine Lefèvre
1713,Le Parisien avec AFP
1714,Cécile Chevallier
1715,Christine Berkovicius
1716,Frédéric Durand
1717,Le Parisien avec AFP
1718,Le Parisien avec AFP
1719,Anissa Hammadi (avec Laure Parny)
1720,J.Cl. avec AFP
1721,Damien Licata Caruso
1722,Le Parisien
1723,Frédéric Mouchon (avec Emilie Torgemen)
1724,Céline Carez
1725,Bertrand Métayer
1726,Le Parisien avec AFP
1727,Jeanne Cassard
1728,Christine Henry avec AFP
1729,Pascale Égré
1730,sans auteur
1731,Le Parisien avec AFP
1732,Stéphanie Forestier
1733,Quentin Laurent
1734,"Le Parisien, avec AFP"
1735,sans auteur
1736,Christophe Goudaillier
1737,David Livois
1738,Salomé Dubart
1739,S. Co. avec AFP
1740,Marie Campistron
1741,sans auteur
1742,Christian Goutorbe
1743,Frédéric Naizot
1744,"Le Parisien, avec AFP"
1745,Le Parisien avec AFP
1746,J.Cl.
1747,Catherine Lagrange
1748,Stéphanie Guerrin
1749,Hélène Haus
1750,Ch.G. avec AFP
1751,Cécile Chevallier
1752,Carole Sterlé
1753,V.M.
1754,sans auteur
1755,Jila Varoquier
1756,Marc Leras
1757,Sandrine Bajos
1758,Benoit Hasse
1759,"Le Parisien, AFP"
1760,sans auteur
1761,sans auteur
1762,Salomé Dubart
1763,Le Parisien
1764,Ch.G. avec AFP
1765,Le Parisien avec AFP
1766,J.Cl. (avec AFP)
1767,"Le Parisien, avec AFP"
1768,Ronan Folgoas
1769,Le Parisien avec AFP
1770,Virginie de Kerautem
1771,Pauline Conradsson
1772,Eric Michel et Christophe Lacaze-Eslous
1773,Julien Lesage
1774,Lionel Chami
1775,Michaël Zoltobroda
1776,Le Parisien
1777,"Catherine Lagrange, correspondante à Lyon (Rhône)"
1778,Bérangère Lepetit
1779,Matthieu Pelloli
1780,Aurélie Lebelle
1781,Aurélie Foulon (avec Nicolas Berrod)
1782,Le Parisien avec AFP
1783,Le Parisien avec AFP
1784,Ph.L. avec AFP
1785,Le Parisien avec AFP
1786,"Louise Colcombet, envoyée spéciale à Montpellier (Hérault)"
1787,Le Parisien avec AFP
1788,Le Parisien avec AFP
1789,"Sandrine Lefèvre, envoyée spéciale aux Sables d’Olonne (Vendée)"
1790,Timothée Boutry et Benjamin Derveaux
1791,Laurent Pruneta
1792,Elsa Mari (avec Y.L)
1793,Le Parisien avec AFP
1794,Stéphane Bianchi
1795,Nathalie Revenu
1796,Ph.L. avec AFP
1797,Yves Leroy
1798,Guillaume Georges
1799,Virginie Wéber
1800,F.V.D.P.
1801,Marjorie Lenhardt
1802,Frédéric Gouaillard
1803,S.N.
1804,Henri Vernet
1805,Le Parisien avec AFP
1806,Guénaèle Calant
1807,Le Parisien avec AFP
1808,Timothée Boutry
1809,Philippe Baverel
1810,Le Parisien
1811,Jean-Michel Décugis
1812,Sylvain Deleuze
1813,David Livois
1814,"Pauline Théveniaud, Olivier Beaumont et Marcelo Wesfreid"
1815,Le Parisien avec AFP
1816,Bertrand Fizel
1817,Erwan Benezet et Matthieu Pelloli
1818,Julie Olagnol
1819,Vincent Gautronneau
1820,Sandrine Lefèvre
1821,Le Parisien avec AFP
1822,Yves Leroy
1823,Nolwenn Cosson
1824,Thomas Poupeau
1825,David Doukhan
1826,Claire Guédon
1827,Julien Duffé et Christine Henry
1828,Faustine Léo
1829,Ph.L. avec AFP
1830,Marjorie Lenhardt
1831,Marine Legrand
1832,Le Parisien avec AFP
1833,Stéphanie Forestier
1834,Julien Barbare
1835,Olivier François
1836,Rosalie Lucas avec Jannick Alimi
1837,L’équipe de Code source
1838,Yves Leroy
1839,Valérie Mahaut
1840,Le Parisien avec AFP
1841,Florent Hélaine
1842,Jean-Michel Décugis et Emmanuel Marolle
1843,Jeanne Cassard
1844,Stéphanie Guerrin
1845,Le Parisien avec AFP
1846,Le Parisien avec AFP
1847,Christophe Levent
1848,Marie-Anne Gairaud
1849,Ronan Tésorière
1850,Le Parisien
1851,Yves Leroy
1852,Le Parisien avec AFP
1853,sans auteur
1854,Marie Persidat
1855,Le Parisien
1856,Sébastien Nieto
1857,"Grégory Plouviez, Michel Valentin"
1858,Le Parisien avec AFP
1859,sans auteur
1860,Damien Licata Caruso
1861,Élie Julien (avec Victor Alexandre)
1862,Christophe Lacaze-Eslous
1863,Thomas Segissement
1864,Timothée Boutry
1865,Le service Télévision
1866,Victor Alexandre avec F.C.
1867,sans auteur
1868,"Le Parisien, avec AFP"
1869,Aubin Laratte
1870,Salomé Dubart
1871,J.Cl. (avec AFP)
1872,Romain Baheux
1873,Le Parisien
1874,Le Parisien
1875,Le Parisien avec AFP
1876,Eric Michel
1877,Julien Constant
1878,Le Parisien
1879,Stéphane Frachet
1880,L.M.
1881,Hélène Hannon
1882,Alexandre Seba
1883,Sébastien Thomas
1884,Sophie Bordier
1885,Ch.G. avec AFP
1886,Marie Campistron
1887,Jeanne Cassard
1888,Pascale Égré
1889,Le Parisien
1890,Romain Porée
1891,A.D.
1892,Romain Chiron
1893,Anne-Sophie Damecour
1894,J.Cl. (avec AFP)
1895,G.B.
1896,Erwan Benezet et Matthieu Pelloli
1897,Alexis Bisson
1898,"Laure Parny avec M.L., G.M. et F.D."
1899,Christophe Lacaze-Eslous
1900,Le Parisien avec AFP
1901,Le Parisien avec AFP
1902,Le Parisien
1903,Bertrand Fizel
1904,Christine Mateus
1905,J.Cl.
1906,Le Parisien avec AFP
1907,Le Parisien avec AFP
1908,Stéphanie Forestier
1909,Michaël Zoltobroda
1910,R.Bx. avec AFP
1911,Le Parisien avec AFP
1912,Olivier Bureau
1913,T.d.L
1914,Gérald Moruzzi
1915,Nathalie Revenu
1916,sans auteur
1917,Valeria Dragoni
1918,sans auteur
1919,Bartolomé Simon et Florian Garcia (avec Florian Loisy)
1920,sans auteur
1921,Le Parisien avec AFP
1922,S.N.
1923,Michaël Zoltobroda
1924,Le Parisien
1925,"A.C, T.C. et V.B."
1926,Élie Julien
1927,Sébastian Compagnon
1928,J.Cl.
1929,Le Parisien avec AFP
1930,Lou Garçon
1931,Esteban Pinel
1932,Serge Pueyo
1933,Sébastien Nieto
1934,Frédéric Durand
1935,sans auteur
1936,Frédéric Gouaillard
1937,Le Parisien avec AFP
1938,Le Parisien avec AFP
1939,Le Parisien
1940,Nathalie Revenu
1941,Benoît Hasse
1942,Zoé Lauwereys
1943,Le Parisien
1944,Renaud Baronian
1945,Florence Hubin
1946,Régis Delanoë
1947,Charlotte Robinet
1948,Lucile Chevalier
1949,Juliette Duclos
1950,Virginie de Kerautem
1951,Le Parisien avec AFP
1952,Sandrine Bajos
1953,J.Cl.
1954,Le Parisien avec AFP
1955,Rédaction des suppléments
1956,Rédaction des suppléments
1957,Rédaction des suppléments
1958,Rédaction des suppléments
1959,Rédaction des suppléments
1960,Rédaction des suppléments
1961,Rédaction des suppléments
1962,Rédaction des suppléments
1963,Julien Lesage
1964,Christophe Bérard
1965,Emilie Torgemen
1966,Christophe Bérard et Laurent Pruneta
1967,Eric Michel
1968,Le Parisien avec AFP
1969,"Victor Fortunato, J.P."
1970,"Franck Lagier, correspondant à Limoges (Vienne)"
1971,Vincent Vérier
1972,Emilie Torgemen
1973,David Opoczynski
1974,Marcelo Wesfreid
1975,Victor Tassel
1976,Florence Méréo
1977,Le Parisien avec AFP
1978,"Louise Colcombet, envoyée spéciale à Montpellier (Hérault)"
1979,Le Parisien avec AFP
1980,Olivier François
1981,F.G.
1982,F.V.D.P.
1983,Arnaud Detout avec C.P. et D.Co.
1984,Le Parisien avec AFP
1985,"Guillaume Frouin, correspondant à Nantes (Loire-Atlantique)"
1986,J.L.
1987,Yves Leroy et Thomas Poupeau (avec Pauline Théveniaud)
1988,P.R.
1989,Pauline Théveniaud et Alexandre Sulzer
1990,Ronan Tésorière
1991,Yves Leroy et Thomas Poupeau (avec Victor Alexandre)
1992,Cécile Chevallier et Nolwenn Cosson
1993,Florence Méréo
1994,Timothée Talbi
1995,Caroline Piquet et Denis Courtine
1996,R.T. avec AFP
1997,Guillaume Georges
1998,Fr. N.
1999,Eric Michel
2000,Stéphane Frachet
2001,Michaël Zoltobroda
2002,Philippe Lemaire et Eric Le Mitouard
2003,Fr. N.
2004,Timothée Talbi
2005,Pascale De Souza
2006,Thibault Chaffotte
2007,Arnaud Detout
2008,Hervé Sénamaud
2009,Guénaèle Calant
2010,Olivier Bureau
2011,Agnès Vives
2012,Dominique Sévérac
2013,"Julien Duffé, envoyé spécial à Lannion (Côtes-d’Armor)"
2014,Sylvain Merle
2015,Frédéric Naizot
2016,Nathalie Revenu
2017,Christine Henry
2018,Julie Olagnol avec Fr.N.
2019,Fanny Delporte
2020,Le Parisien avec AFP
2021,N.C.
2022,F.V.D.P.
2023,V.M.
2024,Le Parisien avec AFP
2025,Olivier Beaumont et Jean-Michel Décugis
2026,Sébastien Blondé
2027,David Doukhan
2028,Julien Constant
2029,Julie Ménard
2030,Pascale De Souza
2031,Patrick Caffin
2032,Hélène Haus
2033,L’équipe de Code source
2034,Le Parisien avec AFP
2035,"Henri Vernet, envoyé spécial à Athènes (Grèce)"
2036,Catherine Balle
2037,Nicolas Goinard
2038,Sylvain Deleuze
2039,Sylvain Merle et Frédéric Mouchon
2040,Marjorie Lenhardt
2041,Fanny Delporte
2042,R.Bx.
2043,Le Parisien avec AFP
2044,Eric Michel
2045,Sandrine Lefèvre
2046,sans auteur
2047,sans auteur
2048,Aurélie Sipos (avec Victor Alexandre)
2049,R.T. avec AFP
2050,Nathalie Revenu
2051,sans auteur
2052,Pascale de Souza
2053,Pascale De Souza
2054,Le Parisien avec AFP
2055,Stanislas de Livonnière
2056,Alexandre Victor
2057,Pauline Darvey
2058,Olivier Bureau
2059,sans auteur
2060,Ronan Tésorière
2061,S.C. avec AFP
2062,C.L.
2063,Salomé Dubart
2064,Alexis Bisson
2065,Marine Legrand
2066,Benjamin Derveaux
2067,Alexandre Sulzer
2068,S.N.
2069,Cyril Simon
2070,Le Parisien avec AFP
2071,Gaël Lombart
2072,Sophie Bordier
2073,Gérald Moruzzi
2074,Le service Télévision
2075,Jila Varoquier
2076,J.Cl.
2077,Laurent Pruneta
2078,Le Parisien avec AFP
2079,Marine Legrand
2080,Nicolas Berrod (avec Aurélie Foulon)
2081,"Le Parisien, avec AFP"
2082,M.-A. G.
2083,J.M. avec AFP
2084,sans auteur
2085,Eric Bruna
2086,sans auteur
2087,D.S.
2088,Anthony Lieures
2089,"Le Parisien, avec AFP"
2090,Bartolomé Simon
2091,Romain Porée
2092,J.M. avec AFP
2093,Julie Ménard
2094,Valentine Rousseau
2095,Le Parisien
2096,Sophie Bordier
2097,Stéphanie Forestier
2098,Le Parisien avec AFP
2099,J.Cl.
2100,Avec Chloé Belleret
