auteur,jour_publication,titre
Par Valentine Rousseau ,2021/01-03-2021,"«Intraitable» sur France 2 : l’histoire d’Emmanuel Giboulot, le viticulteur insoumis"
Par Jeanne Cassard (avec Mehdi Gherdane et Jérémie Pham-Lê) ,2021/01-03-2021,"Islamisme à Trappes : pour les enseignants, «des cas à la marge ont toujours existé»"
Par Julie Ménard ,2021/01-03-2021,"Pour les musulmans de Trappes, «il y a des manipulateurs mais ils sont loin de faire la loi»"
Par Eric Bureau ,2021/01-03-2021,"Jean-Louis Debré bientôt au théâtre avec Valérie Bochenek : «Pour moi, l’art, ce doit être simple»"
Par Louise Colcombet ,2021/01-03-2021,Un ancien policier au cœur d’un effroyable réseau pédocriminel
Par Vincent Vérier ,2021/01-03-2021,Plan de relance : Bercy fait «des ponts d’or» à l’industrie pour qu’elle innove et relocalise
Par Jeanne Cassard et Mehdi Gherdane (avec Jean-Michel Décugis) ,2021/01-03-2021,Islamisme : Trappes est-elle vraiment «une ville perdue» ?
Par Ronan Tésorière ,2021/28-02-2021,«Je pourrais même décider de les battre une troisième fois »: Trump sort du silence et évoque déjà 2024  
Par Le Parisien avec AFP ,2021/28-02-2021,Vosges : un homme mis en examen pour «meurtre» après une dispute alcoolisée
Par Romain Daveau ,2021/28-02-2021,Ligue 1 : Marseille freine Lyon
Par Le Parisien avec AFP ,2021/28-02-2021,Covid-19 : les tests ne sont plus nécessaires pour les déplacements entre l’Andorre et la France
Par Le Parisien avec AFP ,2021/28-02-2021,Emmanuel Macron en Seine-Saint-Denis ce lundi pour promouvoir le mentorat
Par Olivier François ,2021/28-02-2021,XV de France : des tensions dans toutes les lignes
Par Henri Vernet ,2021/28-02-2021,"Covid-19 : l’Allemagne confine la Moselle, les élus désemparés"
Par Sylvain Deleuze ,2021/28-02-2021,"«C’est notre nouveau guide»: à Créteil, le nouvel évêque  officiellement installé"
Par Thomas Poupeau ,2021/28-02-2021,Covid-19 à l’école : faut-il fermer les cantines ?
Par Emilie Torgemen ,2021/28-02-2021,"«Fatigue», «tristesse», «on lâche rien» : l’amertume des participants à la Convention climat"
Par La rédaction ,2021/28-02-2021,"En Ile-de-France, un week-end très surveillé... avant le reconfinement ?"
